cellular response to interferon-alpha (GO:0035457);cellular response to interferon-beta (GO:0035458);cellular response to type I interferon (GO:0071357);negative regulation of interferon-alpha production (GO:0032687);negative regulation of interferon-beta production (GO:0032688);negative regulation of type I interferon production (GO:0032480);negative regulation of type I interferon-mediated signaling pathway (GO:0060339);positive regulation of interferon-alpha production (GO:0032727);positive regulation of interferon-beta production (GO:0032728);positive regulation of type I interferon production (GO:0032481);positive regulation of type I interferon-mediated signaling pathway (GO:0060340);regulation of interferon-alpha production (GO:0032647);regulation of interferon-beta production (GO:0032648);regulation of type I interferon production (GO:0032479);regulation of type I interferon-mediated signaling pathway (GO:0060338);response to interferon-alpha (GO:0035455);response to interferon-beta (GO:0035456);response to type I interferon (GO:0034340);type I interferon signaling pathway (GO:0060337);Interferon alpha/beta signaling Homo sapiens R-HSA-909733;Interferon Signaling Homo sapiens R-HSA-913531;Interferon Alpha Response
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;IRF2;
;;;;;;;;;;;;;;;;;;;;IRF3;
;;;;;;;;;;;;;;;;;;;;IFNG;
;;;;;;;;;;;;;;;;;;;;IRF8;
;;;;;;;;;;;;;;;;;;;;HLA-DRA;
;;;;;;;;;;;;;;;;;;;;IRF9;
;;;;;;;;;;;;;;;;;;;;IRF6;
;;;;;;;;;;;;;;;;;;;;IRF7;
;;;;;;;;;;;;;;;;;;;;EIF4E3;
;;;;;;;;;;;;;;;;;;;;EIF4E2;
;;;;;;;;;;;;;;;;;;;;SEH1L;
;;;;;;;;;;;;;;;;;;;;NCAM1;
;;;;;;;;;;;;;;;;;;;;UBA7;
;;;;;;;;;;;;;;;;;;;;ADAR;
;;;;;;;;;;;;;;;;;;;;NUP43;
;;;;;;;;;;;;;;;;;;;;TRIM48;
;;;;;;;;;;;;;;;;;;;;EIF4E;
;;;;;;;;;;;;;;;;;;;;IP6K2;
;;;;;;;;;;;;;;;;;;;;CIITA;
;;;;;;;;;;;;;;;;;;;;TRIM45;
;;;;;;;;;;;;;;;;;;;;TRIM46;
;;;;;;;;;;;;;;;;;;;;KPNB1;
;;;;;;;;;;;;;;;;;;;;PPM1B;
;;;;;;;;;;;;;;;;;;;;NUP35;
;;;;;;;;;;;;;;;;;;;;TRIM38;
;;;;;;;;;;;;;;;;;;;;UBA52;
;;;;;;;;;;;;;;;;;;;;TRIM34;
;;;;;;;;;;;;;;;;;;;;NUP37;
;;;;;;;;;;;;;;;;;;;;TRIM35;
;;;;;;;;;;;;;;;;;;;;EIF4A3;
;;;;;;;;;;;;;;;;;;;;CAMK2D;
;;;;;;;;;;;;;;;;;;;;EIF4A2;
;;;;;;;;;;;;;;;;;;;;NUP107;
;;;;;;;;;;;;;;;;;;;;EIF4A1;
;;;;;;;;;;;;;;;;;;;;TRIM31;
;;;;;;;;;;;;;;;;;;;;CAMK2A;
;;;;;;;;;;;;;;;;;;;;CAMK2B;
;;;;;;;;;;;;;;;;;;;;USP18;
;;;;;;;;;;;;;;;;;;;;OASL;
;;;;;;;;;;;;;;;;;;;;SAMHD1;
;;;;;;;;;;;;;;;;;;;;FCGR1A;
;;;;;;;;;;;;;;;;;;;;TRIM29;
;;;;;;;;;;;;;;;;;;;;SUMO1;
;;;;;;;;;;;;;;;;;;;;MAPK3;
;;;;;;;;;;;;;;;;;;;;TRIM25;
;;;;;;;;;;;;;;;;;;;;TRIM26;
;;;;;;;;;;;;;;;;;;;;TRIM21;
;;;;;;;;;;;;;;;;;;;;CAMK2G;
;;;;;;;;;;;;;;;;;;;;FCGR1B;
;;;;;;;;;;;;;;;;;;;;TRIM22;
